geometry.coordinates,date_tm-value,stn_nam-value,air_temp,air_temp-qa,dwpt_temp,rel_hum,rel_hum-qa,avg_wnd_spd_10m_pst10mts,avg_wnd_spd_10m_pst1hr,rnfl_amt_pst1mt,rnfl_amt_pst1mt-qa,rnfl_amt_pst1hr,rnfl_amt_pst1hr-qa,dwpt_temp-qa,avg_vis_pst10mts,vis,vis-qa
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:28:00.000Z,PITT MEADOWS CS,3.8,100.0,3.5,97.0,100.0,0.0,0.2,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:28:00.000Z,WHITE ROCK,3.2,100.0,2.5,95.0,100.0,3.7,1.6,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:28:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.5,99.0,100.0,3.4,3.2,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:28:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.0,7.5,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:28:00.000Z,POINT ATKINSON,5.2,100.0,3.8,91.0,100.0,22.7,21.7,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:29:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,3.4,3.2,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:29:00.000Z,DELTA BURNS BOG,2.4,100.0,2.4,100.0,100.0,0.4,0.7,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:29:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,6.9,7.5,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:29:00.000Z,PITT MEADOWS CS,3.8,100.0,3.4,97.0,100.0,0.0,0.2,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:29:00.000Z,WHITE ROCK,3.1,100.0,2.4,95.0,100.0,3.4,1.6,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:29:00.000Z,POINT ATKINSON,5.3,100.0,3.9,91.0,100.0,22.5,21.8,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:30:00.000Z,WHITE ROCK,3.1,100.0,2.4,95.0,100.0,3.0,1.6,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:30:00.000Z,PITT MEADOWS CS,3.7,100.0,3.3,97.0,100.0,0.0,0.2,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:30:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,3.5,3.2,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:30:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,6.9,7.5,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:30:00.000Z,DELTA BURNS BOG,2.4,100.0,2.4,100.0,100.0,0.4,0.7,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:30:00.000Z,POINT ATKINSON,5.2,100.0,3.8,91.0,100.0,22.5,21.9,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:31:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,3.3,3.2,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:31:00.000Z,PITT MEADOWS CS,3.6,100.0,3.3,97.0,100.0,0.0,0.2,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:31:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.2,7.6,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:31:00.000Z,POINT ATKINSON,5.2,100.0,3.8,91.0,100.0,22.2,21.9,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:31:00.000Z,WHITE ROCK,3.1,100.0,2.4,95.0,100.0,2.8,1.7,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:31:00.000Z,DELTA BURNS BOG,2.4,100.0,2.4,100.0,100.0,0.5,0.7,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:32:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.2,7.6,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:32:00.000Z,POINT ATKINSON,5.2,100.0,3.7,90.0,100.0,22.1,22.0,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:32:00.000Z,PITT MEADOWS CS,3.6,100.0,3.2,97.0,100.0,0.0,0.2,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:32:00.000Z,DELTA BURNS BOG,2.4,100.0,2.4,100.0,100.0,0.6,0.8,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:32:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.5,99.0,100.0,3.3,3.2,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:32:00.000Z,WHITE ROCK,3.1,100.0,2.4,95.0,100.0,2.3,1.6,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:33:00.000Z,WHITE ROCK,3.1,100.0,2.4,95.0,100.0,2.0,1.6,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:33:00.000Z,DELTA BURNS BOG,2.4,100.0,2.4,100.0,100.0,0.6,0.8,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:33:00.000Z,PITT MEADOWS CS,3.5,100.0,3.2,97.0,100.0,0.0,0.2,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:33:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.0,7.6,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:33:00.000Z,POINT ATKINSON,5.2,100.0,3.8,90.0,100.0,22.2,22.1,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:33:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.5,99.0,100.0,3.5,3.2,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:34:00.000Z,DELTA BURNS BOG,2.4,100.0,2.4,100.0,100.0,0.6,0.8,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:34:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,3.4,3.2,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:34:00.000Z,PITT MEADOWS CS,3.7,100.0,3.3,97.0,100.0,0.3,0.3,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:34:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,6.8,7.6,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:34:00.000Z,POINT ATKINSON,5.2,100.0,3.8,91.0,100.0,22.3,22.1,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:34:00.000Z,WHITE ROCK,3.1,100.0,2.4,95.0,100.0,1.7,1.6,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:35:00.000Z,DELTA BURNS BOG,2.4,100.0,2.4,100.0,100.0,0.7,0.8,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:35:00.000Z,POINT ATKINSON,5.2,100.0,3.8,91.0,100.0,22.4,22.1,,,,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:35:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,6.6,7.5,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:35:00.000Z,WHITE ROCK,3.1,100.0,2.4,95.0,100.0,1.3,1.6,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:35:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,3.1,3.2,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:35:00.000Z,PITT MEADOWS CS,3.6,100.0,3.3,97.0,100.0,0.5,0.3,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:36:00.000Z,DELTA BURNS BOG,2.4,100.0,2.4,100.0,100.0,0.6,0.7,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:36:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,6.3,7.5,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:36:00.000Z,PITT MEADOWS CS,3.5,100.0,3.2,97.0,100.0,0.5,0.3,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:36:00.000Z,POINT ATKINSON,5.2,100.0,3.8,91.0,100.0,22.5,22.2,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:36:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,3.1,3.2,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:36:00.000Z,WHITE ROCK,3.0,100.0,2.3,95.0,100.0,1.0,1.6,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:37:00.000Z,DELTA BURNS BOG,2.4,100.0,2.4,100.0,100.0,0.6,0.7,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:37:00.000Z,PITT MEADOWS CS,3.4,100.0,3.1,97.0,100.0,0.6,0.3,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:37:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,6.2,7.5,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:37:00.000Z,POINT ATKINSON,5.1,100.0,3.7,91.0,100.0,22.6,22.2,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:37:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,3.0,3.2,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:37:00.000Z,WHITE ROCK,3.0,100.0,2.3,95.0,100.0,0.7,1.6,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:38:00.000Z,POINT ATKINSON,5.1,100.0,3.7,90.0,100.0,22.7,22.2,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:38:00.000Z,WHITE ROCK,3.0,100.0,2.3,95.0,100.0,0.3,1.6,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:38:00.000Z,PITT MEADOWS CS,3.4,100.0,3.0,97.0,100.0,0.8,0.3,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:38:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,2.9,3.1,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:38:00.000Z,DELTA BURNS BOG,2.4,100.0,2.4,100.0,100.0,0.4,0.6,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:38:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,6.0,7.5,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:39:00.000Z,WHITE ROCK,3.0,100.0,2.3,95.0,100.0,0.1,1.6,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:39:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,5.6,7.4,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:39:00.000Z,DELTA BURNS BOG,2.4,100.0,2.3,100.0,100.0,0.3,0.6,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:39:00.000Z,POINT ATKINSON,5.1,100.0,3.7,91.0,100.0,22.6,22.3,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:39:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,2.9,3.1,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:39:00.000Z,PITT MEADOWS CS,3.6,100.0,3.2,97.0,100.0,1.2,0.4,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:40:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.5,99.0,100.0,2.8,3.1,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:40:00.000Z,PITT MEADOWS CS,3.6,100.0,3.3,98.0,100.0,1.6,0.4,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:40:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,4.8,7.3,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:40:00.000Z,DELTA BURNS BOG,2.4,100.0,2.3,100.0,100.0,0.2,0.5,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:40:00.000Z,WHITE ROCK,3.0,100.0,2.3,95.0,100.0,0.2,1.6,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:40:00.000Z,POINT ATKINSON,5.2,100.0,3.8,91.0,100.0,22.3,22.3,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:41:00.000Z,WHITE ROCK,2.9,100.0,2.3,95.0,100.0,0.5,1.6,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:41:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.1,0.5,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:41:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.5,99.0,100.0,3.0,3.1,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:41:00.000Z,PITT MEADOWS CS,3.6,100.0,3.2,98.0,100.0,2.0,0.5,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:41:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,4.2,7.2,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:41:00.000Z,POINT ATKINSON,5.1,100.0,3.8,91.0,100.0,22.2,22.3,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:42:00.000Z,POINT ATKINSON,5.1,100.0,3.7,91.0,100.0,21.8,22.2,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:42:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.5,99.0,100.0,3.0,3.1,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:42:00.000Z,WHITE ROCK,2.9,100.0,2.2,95.0,100.0,0.7,1.7,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:42:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.0,0.5,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:42:00.000Z,PITT MEADOWS CS,3.6,100.0,3.2,98.0,100.0,2.3,0.5,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:42:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,3.8,7.1,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:43:00.000Z,PITT MEADOWS CS,3.6,100.0,3.2,98.0,100.0,2.5,0.6,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:43:00.000Z,POINT ATKINSON,5.1,100.0,3.7,91.0,100.0,21.3,22.1,,,,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:43:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,3.7,7.0,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:43:00.000Z,WHITE ROCK,2.9,100.0,2.2,95.0,100.0,0.8,1.7,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:43:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.0,0.5,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:43:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,3.0,3.1,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:44:00.000Z,PITT MEADOWS CS,3.5,100.0,3.2,98.0,100.0,2.5,0.6,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:44:00.000Z,POINT ATKINSON,5.1,100.0,3.7,91.0,100.0,20.8,22.0,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:44:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.0,0.5,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:44:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.5,99.0,100.0,3.1,3.0,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:44:00.000Z,WHITE ROCK,2.9,100.0,2.2,95.0,100.0,1.2,1.8,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:44:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,3.7,6.9,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:45:00.000Z,POINT ATKINSON,5.2,100.0,3.7,91.0,100.0,20.4,21.9,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:45:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,3.1,3.0,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:45:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,3.9,6.8,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:45:00.000Z,PITT MEADOWS CS,3.3,100.0,3.0,98.0,100.0,2.5,0.6,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:45:00.000Z,WHITE ROCK,2.8,100.0,2.2,95.0,100.0,1.4,1.8,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:45:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.0,0.4,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:46:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,4.1,6.7,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:46:00.000Z,WHITE ROCK,2.8,100.0,2.2,95.0,100.0,1.5,1.8,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:46:00.000Z,POINT ATKINSON,5.1,100.0,3.7,91.0,100.0,19.8,21.9,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:46:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.1,0.4,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:46:00.000Z,WEST VANCOUVER AUT,3.8,100.0,3.6,99.0,100.0,3.1,3.0,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:46:00.000Z,PITT MEADOWS CS,3.1,100.0,2.8,98.0,100.0,2.5,0.6,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:47:00.000Z,WHITE ROCK,2.8,100.0,2.1,95.0,100.0,1.5,1.8,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:47:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,4.2,6.6,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:47:00.000Z,POINT ATKINSON,5.2,100.0,3.7,90.0,100.0,19.4,21.8,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:47:00.000Z,WEST VANCOUVER AUT,3.8,100.0,3.6,99.0,100.0,3.0,3.0,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:47:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.2,0.5,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:47:00.000Z,PITT MEADOWS CS,3.1,100.0,2.7,97.0,100.0,2.6,0.7,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:48:00.000Z,PITT MEADOWS CS,3.1,100.0,2.8,97.0,100.0,2.5,0.7,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:48:00.000Z,POINT ATKINSON,5.2,100.0,3.7,90.0,100.0,18.9,21.8,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:48:00.000Z,WEST VANCOUVER AUT,3.8,100.0,3.6,99.0,100.0,3.0,3.0,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:48:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,4.3,6.5,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:48:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.2,0.5,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:48:00.000Z,WHITE ROCK,2.8,100.0,2.1,95.0,100.0,1.5,1.8,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:49:00.000Z,WEST VANCOUVER AUT,3.8,100.0,3.7,99.0,100.0,3.0,3.0,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:49:00.000Z,PITT MEADOWS CS,3.2,100.0,2.8,97.0,100.0,2.2,0.7,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:49:00.000Z,POINT ATKINSON,5.2,100.0,3.8,90.0,100.0,18.5,21.7,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:49:00.000Z,WHITE ROCK,2.8,100.0,2.2,95.0,100.0,1.7,1.9,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:49:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,4.7,6.5,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:49:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.2,0.4,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:50:00.000Z,WHITE ROCK,2.8,100.0,2.1,95.0,100.0,1.8,1.9,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:50:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.2,0.4,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:50:00.000Z,PITT MEADOWS CS,3.2,100.0,2.8,98.0,100.0,1.8,0.7,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:50:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,3.0,3.0,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:50:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,5.4,6.4,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:50:00.000Z,POINT ATKINSON,5.3,100.0,3.8,90.0,100.0,18.2,21.7,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:51:00.000Z,WEST VANCOUVER AUT,3.8,100.0,3.6,99.0,100.0,3.0,3.1,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:51:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,5.9,6.4,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:51:00.000Z,PITT MEADOWS CS,3.1,100.0,2.8,98.0,100.0,1.7,0.7,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:51:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.2,0.4,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:51:00.000Z,POINT ATKINSON,5.2,100.0,3.8,90.0,100.0,17.8,21.6,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:51:00.000Z,WHITE ROCK,2.8,100.0,2.1,95.0,100.0,1.9,2.0,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:52:00.000Z,PITT MEADOWS CS,3.1,100.0,2.8,98.0,100.0,1.5,0.7,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:52:00.000Z,WHITE ROCK,2.8,100.0,2.1,95.0,100.0,2.1,2.0,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:52:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,6.3,6.3,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:52:00.000Z,DELTA BURNS BOG,2.3,100.0,2.3,100.0,100.0,0.2,0.4,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:52:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,2.8,3.1,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:52:00.000Z,POINT ATKINSON,5.3,100.0,3.8,90.0,100.0,17.7,21.6,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-25T02:53:00.000Z,PITT MEADOWS CS,3.2,100.0,2.9,98.0,100.0,1.4,0.8,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-25T02:53:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,6.8,6.2,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-25T02:53:00.000Z,WEST VANCOUVER AUT,3.7,100.0,3.6,99.0,100.0,2.6,3.0,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-25T02:53:00.000Z,DELTA BURNS BOG,2.3,100.0,2.2,100.0,100.0,0.2,0.3,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-25T02:53:00.000Z,POINT ATKINSON,5.3,100.0,3.8,90.0,100.0,17.7,21.5,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-25T02:53:00.000Z,WHITE ROCK,2.8,100.0,2.2,95.0,100.0,2.5,2.1,0.0,100.0,0.0,,,,,
